time,region,sort,morbidity,,,,
2003,total_areas,parasitosis,0.1,,,,
2003,urban_areas,parasitosis,0.2,,,,
2003,rural_areas,parasitosis,0.1,,,,
2003,total_areas,tumour,2.1,,,,
2003,urban_areas,tumour,3.6,,,,
2003,rural_areas,tumour,1.4,,,,
2003,total_areas,diabetes,5.6,,,,
2003,urban_areas,diabetes,16.3,,,,
2003,rural_areas,diabetes,1.9,,,,
2003,total_areas,blood,1.9,,,,
2003,urban_areas,blood,1.6,,,,
2003,rural_areas,blood,2,,,,
2003,total_areas,psychosis,1.9,,,,
2003,urban_areas,psychosis,2.4,,,,
2003,rural_areas,psychosis,1.8,,,,
2003,total_areas,neuropathy,3.9,,,,
2003,urban_areas,neuropathy,4.6,,,,
2003,rural_areas,neuropathy,3.7,,,,
2003,total_areas,eye,2.8,,,,
2003,urban_areas,eye,4.6,,,,
2003,rural_areas,eye,2.1,,,,
2003,total_areas,cardiopathy,14.3,,,,
2003,urban_areas,cardiopathy,32.8,,,,
2003,rural_areas,cardiopathy,7.9,,,,
2003,total_areas,hypertension,26.2,,,,
2003,urban_areas,hypertension,54.7,,,,
2003,rural_areas,hypertension,16.4,,,,
2003,total_areas,cerebrovascular_diseases,6.6,,,,
2003,urban_areas,cerebrovascular_diseases,13,,,,
2003,rural_areas,cerebrovascular_diseases,4.4,,,,
2003,total_areas,enile_chronic_bronchitis,7.5,,,,
2003,urban_areas,enile_chronic_bronchitis,8.2,,,,
2003,rural_areas,enile_chronic_bronchitis,7.3,,,,
2003,total_areas,acute_gastritis,10.3,,,,
2003,urban_areas,acute_gastritis,9.8,,,,
2003,rural_areas,acute_gastritis,10.5,,,,
2003,total_areas,cirrhosis,1.2,,,,
2003,urban_areas,cirrhosis,1.4,,,,
2003,rural_areas,cirrhosis,1.1,,,,
2003,total_areas,gallbladder,5.7,,,,
2003,urban_areas,gallbladder,8.5,,,,
2003,rural_areas,gallbladder,4.7,,,,
2003,total_areas,skin,1.3,,,,
2003,urban_areas,skin,1.8,,,,
2003,rural_areas,skin,1.2,,,,
2003,total_areas,rheumatoid_arthritis,8.6,,,,
2003,urban_areas,rheumatoid_arthritis,8.4,,,,
2003,rural_areas,rheumatoid_arthritis,8.7,,,,
2003,total_areas,congenital_anomalies,0.4,,,,
2003,urban_areas,congenital_anomalies,0.4,,,,
2003,rural_areas,congenital_anomalies,0.5,,,,
2003,total_areas,injury_and_poisoning,2.1,,,,
2003,urban_areas,injury_and_poisoning,2.4,,,,
2003,rural_areas,injury_and_poisoning,2,,,,
2003,total_areas,others,0.3,,,,
2003,urban_areas,others,0.2,,,,
2003,rural_areas,others,0.3,,,,
2003,total_areas,total,151.1,,,,
2003,urban_areas,total,239.6,,,,
2003,rural_areas,total,120.5,,,,
2008,total_areas,infection,2.7,,,,
2008,urban_areas,infection,1.7,,,,
2008,rural_areas,infection,3.1,,,,
2008,total_areas,parasitosis,0.1,,,,
2008,urban_areas,parasitosis,0.1,,,,
2008,rural_areas,parasitosis,0.1,,,,
2008,total_areas,tumour,3.2,,,,
2008,urban_areas,tumour,5.1,,,,
2008,rural_areas,tumour,2.5,,,,
2008,total_areas,diabetes,10.7,,,,
2008,urban_areas,diabetes,27.5,,,,
2008,rural_areas,diabetes,4.8,,,,
2008,total_areas,blood,2,,,,
2008,urban_areas,blood,1.6,,,,
2008,rural_areas,blood,2.2,,,,
2008,total_areas,psychosis,2.1,,,,
2008,urban_areas,psychosis,2.3,,,,
2008,rural_areas,psychosis,2,,,,
2008,total_areas,neuropathy,4.2,,,,
2008,urban_areas,neuropathy,4,,,,
2008,rural_areas,neuropathy,4.2,,,,
2008,total_areas,eye,2.7,,,,
2008,urban_areas,eye,4,,,,
2008,rural_areas,eye,2.2,,,,
2008,total_areas,cardiopathy,17.6,,,,
2008,urban_areas,cardiopathy,34.4,,,,
2008,rural_areas,cardiopathy,11.7,,,,
2008,total_areas,hypertension,54.9,,,,
2008,urban_areas,hypertension,100.8,,,,
2008,rural_areas,hypertension,38.5,,,,
2008,total_areas,cerebrovascular_diseases,9.7,,,,
2008,urban_areas,cerebrovascular_diseases,13.6,,,,
2008,rural_areas,cerebrovascular_diseases,8.3,,,,
2008,total_areas,enile_chronic_bronchitis,6.9,,,,
2008,urban_areas,enile_chronic_bronchitis,6.6,,,,
2008,rural_areas,enile_chronic_bronchitis,7.1,,,,
2008,total_areas,acute_gastritis,10.7,,,,
2008,urban_areas,acute_gastritis,7.9,,,,
2008,rural_areas,acute_gastritis,11.7,,,,
2008,total_areas,cirrhosis,1.2,,,,
2008,urban_areas,cirrhosis,1.5,,,,
2008,rural_areas,cirrhosis,1,,,,
2008,total_areas,gallbladder,5.1,,,,
2008,urban_areas,gallbladder,5,,,,
2008,rural_areas,gallbladder,5.2,,,,
2008,total_areas,skin,1.3,,,,
2008,urban_areas,skin,1.3,,,,
2008,rural_areas,skin,1.3,,,,
2008,total_areas,rheumatoid_arthritis,10.2,,,,
2008,urban_areas,rheumatoid_arthritis,7.2,,,,
2008,rural_areas,rheumatoid_arthritis,11.3,,,,
2008,total_areas,congenital_anomalies,0.4,,,,
2008,urban_areas,congenital_anomalies,0.5,,,,
2008,rural_areas,congenital_anomalies,0.4,,,,
2008,total_areas,injury_and_poisoning,1.4,,,,
2008,urban_areas,injury_and_poisoning,1.4,,,,
2008,rural_areas,injury_and_poisoning,1.4,,,,
2008,total_areas,others,0.3,,,,
2008,urban_areas,others,0.2,,,,
2008,rural_areas,others,0.3,,,,
2008,total_areas,total,199.9,,,,
2008,urban_areas,total,282.8,,,,
2008,rural_areas,total,170.5,,,,
